"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_CZTSR_Magazine_D","8 .338 Lapua Magnum Rounds Magazine for the CZ-TSR","8 .338 Lapua Magnum Rounds Magazine for the CZ-TSR","8. 338 Lapua Magnum Rounds Magazine for the CZ- TSR","8.338 Lapua Magnum Rounds Magazine für den CZ-TSR","8 .338 Lapua Magnum Rounds Magazine for the CZ-TSR","8. 338 Lapua Magnum Rounds Magazine for the CZ- TSR","8. 338 Lapua Magnum Kerekek Magazin a CZ- TSR számára","8 .338 Lapua Magnum Rounds Magazine per il CZ-TSR","8 .338 Lapua Magnum Rounds Magazine for the CZ-TSR","8 .338 Magazine Lapua Magnum Rounds pour le CZ-TSR","8 338 Lapua Magnum CZ-TSR杂志","8 .338 ラプアマグナムラウンドCZ-TSRの雑誌","8 .338 Revista Lapua Magnum Rounds para o CZ-TSR",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_BarrettM95_N","Barrett M95","Barrett M95","Barrett M95","Barrett M95","Барретт М95","Barrett M95","Barrett M95","Barrett M95","Barrett M95","Barrett M95","巴雷特M95型导弹","バレット M95","Barrett M95",
"STR_BC_BarrettM95_D","The M95 (.50 Cal) is an improved version of the earlier Barrett M90. It is a bolt-action rifle in a bullpup design. The major difference between the M95 and the M90 is that the pistol grip and trigger have been moved forward 1 inch (25 mm) for better magazine clearance.","The M95 (.50 Cal) is an improved version of the earlier Barrett M90. It is a bolt-action rifle in a bullpup design. The major difference between the M95 and the M90 is that the pistol grip and trigger have been moved forward 1 inch (25 mm) for better magazine clearance.","M95 (.50 Cal) je vylepšená verze dřívějšího Barretta M90. Je to velká akční puška v návrhu. Hlavním rozdílem mezi M95 a M90 je, že stisk pistole a spoušť byly posunuty dopředu o 1 palec (25 mm) pro lepší prověření časopisů.","Der M95 (.50 Cal) ist eine verbesserte Version des früheren Barrett M90. Es ist ein Bolzen-Aktionsgewehr in einem Bullpup-Design. Der wesentliche Unterschied zwischen dem M95 und dem M90 besteht darin, dass der Pistolengriff und Auslöser zum besseren Magazinspiel vorwärts 1 Zoll (25 mm) bewegt worden sind.","M95 (.50 Cal) является улучшенной версией более раннего Barrett M90. Это винтовка с болтовым действием в конструкции буллпапа. Основное различие между M95 и M90 заключается в том, что рукоятка пистолета и спусковой крючок были перемещены вперед на 1 дюйм (25 мм) для лучшего клиренса магазина.","M95 (.50 Cal) to ulepszona wersja wcześniejszego Barrett M90. To jest bolt-action karabin w bulpup design. Główną różnicą między M95 i M90 jest to, że uchwyt pistoletu i spust zostały przesunięte do przodu 1 cala (25 mm) dla lepszego prześwitu czasopisma.","Az M95 (.50 Cal) a korábbi Barrett M90 továbbfejlesztett változata. Ez egy golyóálló puska egy bullup design-ban. A fő különbség az M95 és az M90 között az, hogy a pisztoly markolatát és a ravaszt előre mozgatták 1 hüvelyk (25 mm) a jobb magazin engedélyezéséhez.","Il M95 (50 Cal) è una versione migliorata del precedente Barrett M90. Si tratta di un fucile ad azione bullonale in un disegno bullpup. La principale differenza tra la M95 e la M90 è che la presa della pistola e il grilletto sono stati spostati in avanti da 1 pollice (25 mm) per una migliore sdoganamento della rivista.","El M95 (.50 Cal) es una versión mejorada del anterior Barrett M90. Es un rifle de acción de tornillo en un diseño de topa. La diferencia principal entre el M95 y el M90 es que el agarre y el gatillo de la pistola se han movido hacia adelante 1 pulgada (25 mm) para mejorar la limpieza de la revista.","La M95 (50 Cal) est une version améliorée de la précédente Barrett M90. Il s'agit d'un fusil à action de boulons dans un design bullup. La principale différence entre le M95 et le M90 est que la poignée et la gâchette du pistolet ont été déplacées vers l'avant d'un pouce (25 mm) pour un meilleur dégagement du chargeur.","M95 (50 Cal) 是早期巴雷特M90的改进版. 它是一个螺栓动作步枪 在牛排设计。 M95与M90的主要区别在于手枪握把和扳机被向前移动了一英寸(25毫米)以更好地进行杂志审核.","M95(.50 Cal)は、以前のBarrett M90の改良版です。 ブルップ設計のボルトアクションライフルです。 M95とM90の大きな違いは、ピストルグリップとトリガーがより良い雑誌クリアランスのために1インチ(25 mm)前進してきたことです。","O M95 (.50 Cal) é uma versão melhorada do anterior Barrett M90. É um rifle de ação de parafuso em um projeto bullpup. A principal diferença entre o M95 e o M90 é que o aperto da pistola e o gatilho foram movidos para a frente 1 polegada (25 mm) para uma melhor liberação de revista.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_ACR17S_N","ACR-17S","ACR-17S","ACR- 17S","ACR-17S","ACR-17S","ACR-17S","ACR- 17S","ACR-17S","ACR-17S","ACR-17S","ACR-17S (英语).","ACR-17Sの特長","ACR-17S",
"STR_BC_ACR17S_N_B","ACR-17S | Black","ACR-17S | Black","ACR- 17S 124; černá","ACR-17S | Schwarz","ACR-17S Черный","ACR-17S","ACR-17S-124; fekete","ACR-17S | Black","ACR-17S Silencio Negro","Noir","ACR - 17S - 黑色","ACR-17S | ブラック","ACR-17S",
"STR_BC_ACR17S_D","The ACR-17S is a high-performance .308 caliber assault rifle designed for versatility and precision. Featuring a robust, lightweight frame and adjustable stock, the ACR-17S excels in both close-quarters combat and long-range engagements. Its semi-automatic and full-auto firing modes, combined with superior accuracy and stopping power, make it an ideal choice for modern tactical operations.","The ACR-17S is a high-performance .308 caliber assault rifle designed for versatility and precision. Featuring a robust, lightweight frame and adjustable stock, the ACR-17S excels in both close-quarters combat and long-range engagements. Its semi-automatic and full-auto firing modes, combined with superior accuracy and stopping power, make it an ideal choice for modern tactical operations.","The ACR-17S is a high-performance .308 caliber assault rifle designed for versatility and precision. Featuring a robust, lightweight frame and adjustable stock, the ACR-17S excels in both close-quarters combat and long-range engagements. Its semi-automatic and full-auto firing modes, combined with superior accuracy and stopping power, make it an ideal choice for modern tactical operations.","The ACR-17S is a high-performance .308 caliber assault rifle designed for versatility and precision. Featuring a robust, lightweight frame and adjustable stock, the ACR-17S excels in both close-quarters combat and long-range engagements. Its semi-automatic and full-auto firing modes, combined with superior accuracy and stopping power, make it an ideal choice for modern tactical operations.","ACR-17S - это высокопроизводительная штурмовая винтовка калибра .308, предназначенная для универсальности и точности. Благодаря прочной, легкой раме и регулируемому запасу, ACR-17S превосходит как в ближнем бою, так и в дальних боях. Полуавтоматические и полностью автоматические режимы стрельбы в сочетании с превосходной точностью и останавливающей способностью делают его идеальным выбором для современных тактических операций.","ACR-17S to wysokowydajny karabin szturmowy kalibru .308 przeznaczony do wszechstronności i precyzji. Wyposażony w solidną, lekką ramę i regulowany zapas, ACR-17S wyróżnia się zarówno w walce bliskiego zasięgu, jak i w walce dalekiego zasięgu. Jego tryby półautomatyczne i pełne auto, w połączeniu z najwyższą dokładnością i mocą zatrzymania, sprawiają, że jest to idealny wybór dla nowoczesnych operacji taktycznych.","Az ACR-17S egy nagy teljesítményű .308-as kaliberű, sokoldalúságra és precizitásra tervezett géppuska. Egy robusztus, könnyű keretben és állítható állományban az ACR- 17S kiválóan hat mind a közelharcra, mind a hosszú távú bevetésekre. Félautomata és teljes automata tüzelési módjai, kiváló pontossággal és megállási erővel kombinálva ideális választás a modern taktikai műveletekhez.","L'ACR-17S è un fucile d'assalto calibro .308 ad alte prestazioni progettato per versatilità e precisione. Caratterizzato da un telaio robusto e leggero e da uno stock regolabile, l'ACR-17S eccelle sia nel combattimento ravvicinato che negli impegni a lungo raggio. Le sue modalità di cottura semiautomatiche e full-auto, combinate con precisione superiore e potenza di arresto, lo rendono una scelta ideale per le moderne operazioni tattiche.","El ACR-17S es un rifle de asalto calibre de alto rendimiento .308 diseñado para versatilidad y precisión. Con un marco robusto y ligero y un stock ajustable, el ACR-17S destaca tanto en combates de corta distancia como en compromisos de larga distancia. Sus modos semiautomáticos y de disparo completo, combinados con una precisión superior y potencia de parada, lo convierten en una opción ideal para operaciones tácticas modernas.","L'ACR-17S est un fusil d'assaut de calibre 308 haute performance conçu pour la polyvalence et la précision. Doté d'un cadre robuste et léger et d'un stock réglable, l'ACR-17S excelle tant dans le combat à proximité que dans les engagements à longue portée. Ses modes de tir semi-automatique et plein-auto, combinés à une précision et une puissance d'arrêt supérieures, en font un choix idéal pour les opérations tactiques modernes.","ACR-17S是一款高性能的308口径突击步枪,为多用途和精度所设计. ACR-17S设计出坚固、轻量级和可调整的库存,在近地作战和远程作战方面都非常出色。 它的半自动和全自动的射击模式,加上优异的精度和停止力,使它成为了现代战术行动的理想选择.","ACR-17Sは汎用性と精度のために設計された高性能.308キャリバーアサルトライフルです。 堅牢で軽量なフレームと調整可能な在庫を特徴とするACR-17Sは、隣接する戦闘と長距離のエンゲージメントの両方で優れています。 その半自動および全自動発射モードは、優秀な正確さと力の停止と結合しましたり、それに現代戦術的な操作のための理想的な選択をします。","O ACR-17S é um rifle de assalto calibre .308 de alto desempenho projetado para versatilidade e precisão. Com uma estrutura robusta, leve e estoque ajustável, o ACR-17S se destaca tanto em combate de perto quanto em combates de longo alcance. Os seus modos de disparo semi-automático e automático, combinados com precisão superior e potência de paragem, tornam-no uma escolha ideal para operações tácticas modernas.",
"STR_BC_ACR17S_Magazine_N","30rd ACR-17S Magazine","30rd ACR-17S Magazine","30rd ACR- 17S Magazine","30. ACR-17S Magazin","30-й журнал ACR-17S","30rd ACR- 17S Magazine","30rd ACR- 17S Magazine","30a rivista ACR-17S","30th ACR-17S Magazine","30e Magazine ACR-17S","ACR-17S 第30期杂志","30rd ACR-17Sマガジン","30a Revista ACR-17S",
"STR_BC_ACR17S_Magazine_D","30 .308Win Rounds Magazine for the ACR-17S","30 .308Win Rounds Magazine for the ACR-17S","30. 308Win Rounds Magazine pro ACR-17S","30.308Win Rounds Magazine für die ACR-17S","30 .308Win Rounds Magazine для ACR-17S","30. 308Win Rounds Magazine for the ACR- 17S","30 .308Win Rounds Magazine for the ACR-17S","30 .308Win Rounds Magazine per l'ACR-17S","30 .308Win Rounds Magazine for the ACR-17S","30 .308Win Rounds Magazine pour l'ACR-17S","ACR-17S的30.308Win圆形杂志","30 .308Win ACR-17Sのラウンドマガジン","30 .308Win Rounds Magazine para o ACR-17S",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_AEK971_N","AEK-971","AEK-971","AEK- 971","AEK-971","АЕК-971","AEK- 971","AEK- 971","AEK-971","AEK-971","AEK-971","AEK-971号","AEK-971の特長","AEK-971",
"STR_BC_AEK971_N_B","AEK-971 | Black","AEK-971 | Black","AEK- 971 CONTROL124; černá","AEK-971 | Schwarz","AEK-971 Черный","AEK- 971","AEK- 971","AEK-971 | Nero","AEK-971","Noir","AEK-971号 黑色","AEK-971 | 黒","AEK-971",
"STR_BC_AEK971_D","The AEK-971 is a selective-fire, 5.45×39mm Russian assault rifle developed in the late 1970s and 1980s by Stanislav Koksharov. Its defining feature is a balanced recoil system with a counter-weight that moves in the opposite direction of the gas piston to minimize recoil, resulting in highly controllable automatic fire. It utilizes standard 30-round magazines, has an effective range of about 500 meters, and features a high rate of fire.","The AEK-971 is a selective-fire, 5.45×39mm Russian assault rifle developed in the late 1970s and 1980s by Stanislav Koksharov. Its defining feature is a balanced recoil system with a counter-weight that moves in the opposite direction of the gas piston to minimize recoil, resulting in highly controllable automatic fire. It utilizes standard 30-round magazines, has an effective range of about 500 meters, and features a high rate of fire.","AEK-971 je selektivní požár, 5.45 × 39mm Ruská útočná puška byla vyvinuta koncem 70. a 80. let Stanislavem Kokšarovem. Jeho určujícím rysem je vyvážený zpětný systém s protiváhou, která se pohybuje v opačném směru pístu plynu, aby minimalizovala zpětný chod, což vede k vysoce kontrolovatelnému automatickému požáru. Využívá standardních 30kulatých časopisů, má efektivní dosah asi 500 metrů a má vysokou rychlost požáru.","Der AEK-971 ist ein selektives Feuer, 5,45×39mm Das russische Angriffsgewehr wurde Ende der 1970er und 1980er Jahre von Stanislav Koksharov entwickelt. Sein definierendes Merkmal ist ein ausgewogenes Rückstoßsystem mit einem Gegengewicht, das sich in entgegengesetzter Richtung des Gaskolbens bewegt, um Rückstoß zu minimieren, was zu einem hochkontrollierbaren automatischen Brand führt. Es verwendet Standard 30-round-Magazine, hat eine effektive Reichweite von etwa 500 Metern, und verfügt über eine hohe Feuerrate.","AEK-971 является селективным огнем, 5,45×39 мм. Российская штурмовая винтовка разработана в конце 1970-х и 1980-х годов Станиславом Кокшаровым. Его определяющей особенностью является сбалансированная система отдачи с противовесом, которая движется в противоположном направлении от газового поршня, чтобы минимизировать отдачу, что приводит к высокоуправляемому автоматическому огню. Он использует стандартные 30-раундовые журналы, имеет эффективную дальность около 500 метров и отличается высокой скорострельностью.","AEK- 971 to ogień selektywny, 5,45 × 39mm Rosyjski karabin szturmowy, opracowany pod koniec lat 70-tych i 80-tych przez Stanislava Koksharova. Jego cechą charakterystyczną jest zrównoważony system odrzutów z przeciwwagą, który porusza się w przeciwnym kierunku tłoka gazu, aby zminimalizować odrzut, co prowadzi do wysoce kontrolowanego ognia automatycznego. Wykorzystuje standardowe 30-okrągłe czasopisma, ma skuteczny zakres około 500 metrów, i charakteryzuje się wysoką szybkością ognia.","Az AEK- 971 egy szelektív tűz, 5.45 × 39mm Az 1970-es és 1980-as évek végén az orosz géppuskát Stanislav Koksharov fejlesztette ki. Meghatározó jellemzője egy kiegyensúlyozott visszapillantó rendszer, amelynek ellensúlya a gázdugattyú ellenkező irányba mozog, hogy minimalizálja a visszapillantást, ami nagyon kontrollálható automatikus tüzet eredményez. Használata standard 30- kerek magazinok, hatékony hatótávolsága körülbelül 500 méter, és magas a tűz.","L'AEK-971 è un fuoco selettivo, 5.45×39mm Fucile d'assalto russo sviluppato alla fine degli anni '70 e '80 da Stanislav Koksharov. La sua caratteristica di definizione è un sistema di rinculo bilanciato con un contrappeso che si muove nella direzione opposta del pistone a gas per minimizzare il rinculo, con conseguente fuoco automatico altamente controllabile. Esso utilizza riviste standard 30-round, ha una gamma efficace di circa 500 metri, e dispone di un alto tasso di fuoco.","El AEK-971 es un fuego selectivo, 5.45×39mm Fusil ruso de asalto desarrollado a finales de los años 70 y 1980 por Stanislav Koksharov. Su característica definitoria es un sistema de retroceso equilibrado con un contrapeso que se mueve en la dirección opuesta del pistón de gas para minimizar el retroceso, dando lugar a un fuego automático altamente controlable. Utiliza revistas estándar de 30 rondas, tiene un rango efectivo de unos 500 metros, y cuenta con una alta tasa de fuego.","L'AEK-971 est un feu sélectif, 5.45×39mm Fusil d'assaut russe développé à la fin des années 1970 et 1980 par Stanislav Koksharov. Sa caractéristique caractéristique est un système de recul équilibré avec un contrepoids qui se déplace dans la direction opposée du piston à gaz pour minimiser le recul, entraînant un feu automatique hautement contrôlable. Il utilise des magazines 30-round standard, a une gamme efficace d'environ 500 mètres, et dispose d'un taux élevé de feu.","AEK-971型是选择性射击,5.45×39毫米 俄罗斯突击步枪由斯坦尼斯拉夫·克克沙罗夫于1970年代末和1980年代研制. 其定义特征是平衡后坐力系统,其反重力会向气体活塞的相反方向移动以将后坐力降到最小,导致高度可控的自动起火. 它使用标准的30个圆形弹夹,有效射程约500米,并具有高火率的特点.","AEK-971は、選択火、5.45×39mmです 1970年代後半と1980年代にStanislav Koksharovによって開発されたロシア・アサルト・リフル。 その決定機能は、バランスの取れたリコイルシステムで、ガスピストンの反対方向に移動し、リコイルを最小限に抑え、高度に制御可能な自動火災をもたらします。 標準的な30円形の雑誌を利用し、約500メートルの有効範囲を持ち、高い火災率を備えています。","O AEK-971 é um fogo seletivo, 5,45×39mm Fuzileiro russo desenvolvido no final dos anos 1970 e 1980 por Stanislav Koksharov. Sua característica definidora é um sistema de recuo equilibrado com um contrapeso que se move na direção oposta do pistão de gás para minimizar o recuo, resultando em fogo automático altamente controlável. Ele utiliza revistas padrão de 30 rodadas, tem uma gama eficaz de cerca de 500 metros, e apresenta uma alta taxa de fogo.",
